Indicator Name,Year,Angola,Arab World,Antigua and Barbuda,Bangladesh,Bahrain,Canada,Switzerland,China,Cote d'Ivoire,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Costa Rica,Cuba,Curacao,Cyprus,Czechia,Germany,Djibouti,Dominica,Denmark,Dominican Republic,East Asia & Pacific (excluding high income),Early-demographic dividend,East Asia & Pacific,Europe & Central Asia (excluding high income),Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Euro area,Eritrea,Spain,Estonia,Ethiopia,European Union,Fragile and conflict affected situations,Finland,Fiji,France,Faroe Islands,"Micronesia, Fed. Sts.",Gabon,Georgia,Ghana,Gibraltar,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Greenland,Guatemala,Guam,Guyana,High income,"Hong Kong SAR, China",Honduras,Heavily indebted poor countries (HIPC),Croatia,Haiti,Hungary,IBRD only,IDA & IBRD total,IDA total,IDA blend,Indonesia,IDA only,Isle of Man,India,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Kiribati,St. Kitts and Nevis,"Korea, Rep.",Kuwait,Latin America & Caribbean (excluding high income),Lao PDR,Lebanon,Liberia,Libya,Mauritania,Mauritius,Malawi,Malaysia,North America,Namibia,New Caledonia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,Nauru,New Zealand,OECD members,Oman,Other small states,Pakistan,Panama,Peru,Philippines,Palau,Papua New Guinea,Poland,Pre-demographic dividend,Puerto Rico,"Korea, Dem. People's Rep.",Portugal,Paraguay,Pacific island small states,Post-demographic dividend,French Polynesia,Qatar,Romania,Russian Federation,Rwanda,South Asia,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,San Marino,Somalia,Serbia,Sub-Saharan Africa (excluding high income),South Sudan,Sub-Saharan Africa,Small states,Sao Tome and Principe,Suriname,Slovak Republic,Slovenia,Sweden,Eswatini,Sint Maarten (Dutch part),Seychelles,Syrian Arab Republic,Turks and Caicos Islands,East Asia & Pacific (IDA & IBRD countries),Europe & Central Asia (IDA & IBRD countries),Togo,Thailand,Tajikistan,Turkmenistan
Agricultural irrigated land (% of total agricultural land),2001,,,,,40.85801839,,,,,,,,,,,,25,,,,,7.623318386,8.902186879,,,,,,,,,,12.62533875,,0.32396348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.20730579,,,,,31.55080214,15.93987873,,7.142857143,32.61078074,,,9.53043801,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.19863681,,,,,,,,,,,,,,,,2.209758075,2.069067283,,,,,,,,,,,,,,,,,,,4.922394678,0.588235294,,,,,,,,,,,,
Agricultural irrigated land (% of total agricultural land),2002,,,,,,,,,,,,,,,,,25,,,,,7.65478424,7.921272366,,,,,,8.584779706,,,,12.84883919,,0.32461145,,,,,,,,,,,,0.673479526,,,,,,,,,,,,,,,,,,,,,,,,31.53300842,,,,,30.90586146,,,7.317073171,32.52173913,,,9.53043801,,,,,,15.91684435,,,,,21,,,,,,0.172105263,0.334533795,,,,,,3.193505342,,,,48.91009652,,,,,,,,7.657657658,,,,,,,,3.293291942,2.052148386,,,0.685298027,,0.64,,,,,,,,,,,,,,3.352704515,0.594059406,,3.663398693,,,,,,,,,,
Agricultural irrigated land (% of total agricultural land),2003,,,,,,,,,,,,,,,,,23.37662338,0.460688798,,,,7.580887886,7.77412731,,,,,,9.268965517,,,,12.26974925,,0.381561047,,,,,,,,,,,,,,,,15.88705768,,,6.30632451,,12.28008179,,,,,,,2.540494459,,,,,,,,30.7335963,,,,,,18.33366875,,7.064676617,32.29571984,,,9.474169742,,,,,,,,,,,22.22222222,,,,,,,,,,,,,,,,,49.45442701,,,,,,,,7.884972171,,,,,,,,3.844594595,2.099622244,,,,,0.62557924,,,,2.271459313,,,,,,,,,,4.203935599,0.588235294,1.70805766,,,5,9.853036994,,,,,,,
Agricultural irrigated land (% of total agricultural land),2004,,,,51.34613322,,,,,,,,,,,,,21.79487179,,,,,7.709750567,8.944973107,,,,,,9.525707453,,,,11.74366207,,0.367058397,,,,,,,,,,,,,,,,,,,,,,,,,,0.93537415,,2.045020464,,,,,,,,31.63298683,,,,,,,,7.328833173,33.20939335,,,9.498607242,,,,,,,,,,0.057516998,21.42857143,,,,,,,,,,4.230769231,,,,,,,52.10153974,,,,,,,,,,,,,,,,2.314225053,2.097416427,,,,,0.690687234,,,,2.201920825,,,,,,,,,,2.171664943,0.609756098,,,,,10.3487954,,,,,,,
Agricultural irrigated land (% of total agricultural land),2005,,,,51.12232843,,1.370507331,,,,,,,,,,,20.95808383,0.47150318,,,,9.678611008,9.937939595,,,,,,10.02666667,,,,11.70964202,0.068034925,0.43731952,,,,,5.771952746,,,,,0.090762224,,,,,,16.61461587,,,,,,,,2.591428571,,,,1.280914208,,,,,,,,32.86921377,,,,,,17.73208469,,7.89733465,33.50393701,,,9.315960912,,,,,,,,,,,21.875,0.579150579,,,,,,,,4.799504567,4.150579151,,,,,,,52.77352982,,,,,,0.446372438,,,,11.87272646,,,,,,0.324400564,2.074369436,0.422115896,,,,0.763445761,,,,2.470047596,,,,,,,,,,1.339515714,0.392927308,1.525990254,,,,10.3124096,,,,,,,
Agricultural irrigated land (% of total agricultural land),2006,,,,52.61853448,,,,,,,,,,,,,21.01910828,,1.384397498,,,9.667896679,9.193214729,,,,,,10.22299839,,,,11.60311746,,0.393056489,,,,,,,,,3.971405878,0.149454587,,,,,,18.64428335,,,,,,,,,,0.325203252,,1.341366845,,,,,,,,33.81654864,,,,,35.67216981,,,8.251473477,33.32409863,,,9.308458592,,,,,,,,,,,22.34042553,0.529801325,,,,,,,,,5.410628019,24.63560335,,,,,,52.94036253,,,8.333333333,,,,,,,,,,,,,0.687370895,2.05719112,,,,,0.74204947,,,,2.670720684,,,0.735651682,,,,,,,1.289324394,0.610997963,,,,,10.10304821,,,,,,,
Agricultural irrigated land (% of total agricultural land),2007,,,,,,,,,,,,,,,,,20.24456522,0.556065282,,,,9.538114908,8.895324783,,,,,,10.75283324,,,,11.84830738,,0.512586595,,,,,5.175973512,,,,4.171632896,0.088195781,,0.669252468,,,,18.6766413,,,,,,,,,,0.382695507,,2.08179783,,,,,,,,34.93207883,,,,,30.01351091,18.82502471,,7.474307069,33.20203708,,,9.313423932,,,,,,13.12215221,,,,,22.82608696,0.700094607,,,,,0.170161253,0.328795119,,10.55160886,5.329457364,25.42006721,,4.431096022,,,,53.03640352,1.433820235,,8.227311281,,,0.465447023,,8.349206349,,15.94407963,,,,,,2.347762289,2.019372236,,,0.685763639,,,,,,2.014017562,,,0.732178343,,,,,,,1.295336788,0.803212851,1.735717261,,,,10.04533353,,,,,,,
Agricultural irrigated land (% of total agricultural land),2008,,,,,,,,,,,,,,,,,21.10726644,0.279985777,,,,9.52023988,8.852732582,,,,,,10.18132975,,,,11.93873925,,0.476255324,,,,,,,,,4.017501989,,,,,,,18.62348178,2.222222222,,,,,,,,,,,1.38238342,,,,,,,,34.65011098,,17.47027953,,,,,,9.542416452,32.48519763,,,9.305317324,,,,,,,,,,,23.07692308,0.533578657,,,,,,,,,,25.86705202,,,,,,54.62577521,1.435492553,,9.067443797,,,,,,,,,,,,,1.884993399,1.970820533,,,,,,,,,2.262626263,,,0.725385725,,,,,,,1.342281879,0.646663218,,,,,9.75679954,,,,,,,
Agricultural irrigated land (% of total agricultural land),2009,,,,,,,,,,,,,,,,,22.4137931,0.310220059,2.208930475,,,9.643128322,8.969545265,,,,,,12.63537906,,,,11.46585627,,0.441331999,,,,,,,,,,0.243695094,,,,,,18.22751323,,,,,,,,,,0.384733764,5.340439237,1.84610064,,,,,,,,35.34164871,,16.9801783,,,28.37734405,,,9.248780488,32.58553452,,,9.395043938,,,,,,,,,,,23.07692308,,,,,,0.196884564,,,,,26.40096618,,,,,,55.0500326,1.433948736,,9.396694215,,,,,,,,,,,,,2.173115043,,,,,,,,,,2.553294966,,,0.8823195,,,,,,70.21144279,1.03626943,0.639877144,,,,,8.90135174,,,,,,,
Agricultural irrigated land (% of total agricultural land),2010,,,,,,s,2.359211911,,,,,,,,,,21.83406114,0.539172285,,,,12.14775324,8.656654151,,,,,,12.56385291,,,,12.00217825,0.031618887,0.510046801,,,0.655351455,,5.474602697,,,,,0.241926938,,,,,,18.32020296,,,,,,,,,,1.087119508,,0.840351862,,,,,,,,34.49237914,,16.90137819,,,32.58671952,16.8274264,7.286968906,9.617878879,32.80839895,0.582514973,,9.404536417,,,,,,,,,,,21.97802198,,,,,,,,,7.31720344,4.334426881,29.73824527,,,,,,55.72895976,1.200146488,,9.107438017,,,0.318361132,,,,12.75255393,,,,,19.08957416,0.588443063,,,,,,,,,,1.382226197,,,0.709904589,,,,,,71.06002554,0.761042834,0.641169493,2.049647005,,,,9.641932701,,,,,,,
Agricultural irrigated land (% of total agricultural land),2011,,,,,,,,,,,,0.944368543,,,,,21.41014617,0.57076974,,,,,8.694201085,,,,,,12.76867998,,,,12.11964167,,0.453128957,,,,,,,,,,0.243746962,,,,,,18.65873445,,,,,,,,,,,,1.894322653,,,,,,,,35.39878666,,16.82207938,,,,,,9.60502693,31.99837365,,,9.422632794,,,,,,11.42104107,,,,,22.47191011,,,,,,,,,,,,,,,,,51.95347284,0.892620415,,9.265905383,,,,,,,,,,,,16.86046512,0.740237448,,,,,,,,,,1.288743883,,,0.963664191,,,,,,69.55,0.715137068,0.644527159,,,,,10.05389867,,,,,,,
Agricultural irrigated land (% of total agricultural land),2012,,,,,,,,,,,,,,,,,20.95808383,0.56723267,,,,,,,,,,,12.62838189,,,,13.00571598,,,,,,,,,,,,0.242908324,,0.659027778,,,,18.9070438,,,,,,,,,,,,2.33795429,,,,,,,,36.32947752,,16.74227714,,,,,,9.158771174,32.19164118,,,9.439823251,,,,,,11.61555965,,,,,21.83908046,,,,,,0.19621723,0.32514526,,,1.980257857,,,,,,,51.46549095,0.936529072,,,,,,,10.67073171,,,,,,,,1.20803903,,,,0.68706914,,,,,,1.611847488,,,1.530641714,,,,,,72.99180328,1.286707482,0.32690956,,,,,10.25788377,,,,,,,
Agricultural irrigated land (% of total agricultural land),2013,,,,57.91118776,,,2.249968893,,,,,1.451726631,,,,,21.31765138,0.511218404,2.189614901,,,9.208523592,,,,,,,12.57819779,,,,14.1846094,0.031088083,,,,0.420633164,,4.947573652,,,,,0.224663637,,,,,,19.19474346,,,,,,,,,,0.854973521,3.868471954,2.259844018,,,,,,,,36.78560696,,16.71454063,,,31.8854507,19.08290536,,9.786106379,32.64513491,,,9.500127881,,,,,,12.1627409,,,,,22.09302326,,5.509163327,,,,,,,5.509850617,1.970332965,,,,,4.77773864,,49.44873208,1.10566206,,,,,0.52741152,,,,12.96371349,,,,,,1.300970874,,,,,,,,,,1.682534471,,,1.518102658,,,,,,72.65625,0.971796768,0.327756018,1.709441121,,,,9.410243517,,,,,,,
Agricultural irrigated land (% of total agricultural land),2014,,,,57.96137339,,,,,,,,,,,,,21.28830978,0.511945392,,,,,,,,,,,16.63926941,,,,14.40288961,,,,,0.39698293,,,,,,,0.290917206,,,,,,20.23867118,,,,,,,,,,,,1.886778116,,,,,,,,37.89949257,,16.58049354,,,38.4787056,,,9.868421053,32.29979466,0.785011398,,9.501662388,,,,,,11.69164882,,,,,19.76744186,,5.476573124,,,,,,,,,,,6.297229219,,4.842935625,,51.27992938,,,,,,,,,,,,,,,,1.048445409,,,,,,,,,,1.762477351,,,1.283367556,,,,,,72.56235828,0.957976077,0.32528788,,,,,,,,,,,16.97768173,
Agricultural irrigated land (% of total agricultural land),2015,,,,57.74709993,,1.559886177,,,,,,,,,,,19.97158194,0.515168861,,,,5.543113081,,,,,,,15.66764553,,,,13.53985664,,,,,0.351895839,,,,,,,,,,,,,19.90643652,,,,,,,,,,,,2.361322188,,,,,,,,38.05927369,,16.58049354,,,38.73384529,,,9.798352741,,0.796357343,,9.503419791,,,,,,,,,,,19.30232558,,5.157544309,,,,,,,,,,,,,5.771966527,,51.73747307,,,,,,,,,,,,,,,15.49295775,1.248376389,,,,,,,,,,,,,1.580005745,,,,,,75.86206897,1.117229694,0.486625898,,,,,,,,,,,16.86692266,
Agricultural irrigated land (% of total agricultural land),2016,,,,57.6849728,,,2.164586901,,,,,,,,,,21.47728312,0.716743119,2.712047542,,,8.304445545,,,,,,,16.27991298,,,,13.75977035,0.199401795,,,,0.351648352,,,,,,,,,,,,,19.68709257,,,,,,,,,,1.015523933,,1.849678152,,,,,,,,37.47675105,,16.58049354,,,55.43478261,19.92663128,,10.00037525,,0.809324364,,9.520827997,,,,,,,,,,,19.53488372,,5.156924513,,,,,,,11.07438017,3.425977039,,,,,5.88718663,,50.55443822,,,,,,0.923194657,,,,13.09909009,,,,,15.49295775,1.131573108,,,,,,,,,,1.869697718,,,1.244212963,,,,,,75.86206897,1.198303287,0.502040552,1.688227427,,,,7.214428786,,,,,,11.5272593,
Agricultural irrigated land (% of total agricultural land),2017,,,,57.80576552,,,,,,,,,,,,,,0.710025561,,,,8.20887014,,,,,,,17.28085868,,,,13.93354688,,1.840016143,,,,,,,,,,,,0.650222679,,,,20.43611071,,,,,,,,,,,,1.912125212,,,,,,,,38.30101211,,,,,37.20496894,,,8.589870904,,0.821132056,,9.523628808,,,,,,19.4342379,,,,,19.18604651,,5.156924513,,,,0.340879923,0.32158027,,,,,,,,6.950796187,,49.23925087,,,,,,,,,,,,,,,15.27777778,1.584691284,,,,0.686075321,0.453899316,,,,,,,,1.462415911,,,,,,75,1.298563065,0.520291363,,,,,6.815358385,,,,,,11.43445212,
Agricultural irrigated land (% of total agricultural land),2018,,,,57.71726237,,,,,,,,,,,,,,0.709622481,,,,8.698955366,12.27169617,,,,,,15.89574156,,,,14.14541948,,2.080704957,,,,,,,,,,,,,,,,20.65835394,,,,,,,,,,,,1.828719789,,,,,,,,38.789308,,16.99268891,,0.00267094,34.07141743,,,8.259933451,,0.817687414,,9.680063255,,,,,,20.08498259,,,,,20.23255814,,5.156924513,,,,0.39246314,,,13.99890291,,,,,,7.458781141,,50.41539253,,,,,,,,,,,,,,,14.86486486,1.990457731,,,,0.521489152,1.267851209,,,,,1.865016308,,,1.356812933,,,,,,73.80952381,1.159343568,0.522875817,,,,,6.995759641,,,,,,11.49319977,
Agricultural irrigated land (% of total agricultural land),2019,,,,78.77836305,,,,,,,,,,,,,,0.709489766,,,,11.65285904,,,,,,,17.44840525,,,,14.60980731,,,,,,,,,,,,,,,,,,20.20265074,,,,,,,,,,,,1.915441455,,,,,,,,39.96421599,,16.96616892,,0.00267094,33.59962406,,,7.724071394,,0.831595196,,9.68519733,,,,,,20.93273841,,,,,18.13953488,,5.156924513,,,,0.443256143,,,16.34191986,,,,,,7.554399891,,50.4638934,,,,,,,,,,14.33305814,,,,,16.21621622,2.075799219,,,,0.409126129,1.376127417,,,,,2.124278665,,,1.358381503,,,,,,75,1.071618037,0.514470504,,,,,7.282845772,,,,,,11.55910699,
Agricultural irrigated land (% of total agricultural land),2020,,,,79.3614021,,,3.288657247,,,,,,,,,,21.04038173,0.624313433,3.052124134,,,9.007678282,,,,,,,18.4501845,,,,14.6549135,,0.47144851,,,,,6.394955984,,,,,,,,,,,16.36218236,,,,,,,,,,1.136212625,,2.274912509,,,,,,,,42.2658231,,16.95197861,,0.00267094,33.40037129,,,8.09718173,,0.845735017,,9.686722352,,,,,,21.71294929,,,,,18.37209302,,5.156924513,,,,0.572164825,,,,,,,,,7.397887493,,52.66454266,1.875074744,,,,,,,,,,,,,,17.56756757,3.624798835,,,,0.404548514,1.390495917,,,,,2.291544702,,,1.493394601,,,,,,75,1.242697823,0.648659274,,,,,7.279326024,,,,,,11.57445077,
Agricultural irrigated land (% of total agricultural land),2021,,,,78.9034565,,,,,,,,,,,,,,0.623803579,,,,9.014514897,,,,,,,18.86654479,,,,14.78509608,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.158536585,,2.190975866,,,,,,,,42.26577835,,,,0.00267094,31.2975913,,,8.758553275,,0.854085602,,9.688310937,,,,,,21.71294929,,,,,17.79069767,,5.156924513,,,,,,,,,,,,,7.92650489,,,1.895690491,,,,,,,,,,,,,,17.56756757,2.637816347,,,,0.38348117,,,,,,2.010286861,,,1.492109039,,,,,,74.35897436,1.379310345,0.762734058,,,,,,,,,,,11.52532032,
"Agriculture, forestry, and fishing, value added (% of GDP)",1996,7.026869166,10.45432126,1.615363486,23.26620805,,,1.219807163,19.32548555,16.52672526,33.26198154,8.986689236,12.76881903,29.37611056,12.10249641,7.133444054,,4.57821976,3.894754969,1.042167609,,12.97185651,2.792696277,9.193402464,17.58609404,12.90462441,5.022678084,11.22598359,2.898754276,20.7500581,16.11508282,2.370633621,16.22737377,4.388975538,4.128131479,51.16536843,2.564937061,18.78452444,3.44915412,17.30717729,2.404281518,,23.3730387,7.09283164,33.15238465,38.95508303,,17.39940732,17.94588617,54.24518424,,6.584926297,6.000852562,,24.05609994,,37.76895871,,,20.2545671,29.25268056,5.592986289,19.4953609,7.262480335,11.60218876,12.80872189,26.7561347,23.5224273,16.67238738,28.8327087,,25.19930606,4.690114819,10.34647723,18.59708233,8.580027618,1.913385628,2.974587634,8.003410358,3.229090317,1.653533736,12.15215514,27.49252178,46.31762489,26.07835294,2.782676205,4.960650984,0.394523337,6.233211995,40.49828878,6.183078443,,,27.19802956,9.063082662,26.13181313,11.68043447,,9.329859553,3.483644507,32.32870033,26.1991592,21.40552975,2.877330432,2.227137916,38.92765745,,6.437127229,2.211296155,2.504128151,5.605505452,23.19579581,6.435148028,8.504048493,18.0136454,,31.64525292,5.165583461,26.10399605,0.828612883,,4.590746117,18.36501195,20.46679813,,3.729960867,,17.5390992,6.549375242,47.18929222,24.95146272,5.367803092,42.38485196,18.3370626,0.150025188,43.25802033,45.21014645,10.8503279,,,17.75206614,16.36801961,,16.35065445,6.358575792,,14.78348474,2.300278484,3.753266676,2.553932307,11.98418778,,3.636484341,27.71731342,,17.55663529,10.31325462,35.89344301,9.063416493,36.03592737,12.63225806
"Agriculture, forestry, and fishing, value added (% of GDP)",1997,9.002017942,9.877334554,1.719024634,23.24614375,,2.139497957,1.245189538,17.89527674,15.1463001,47.50000059,9.139190086,12.60647115,29.375999,12.50309134,7.186811498,,3.920349553,3.489252287,1.031384647,,12.54415881,2.637124679,9.144299035,16.78266154,12.12460782,4.963416853,10.42992725,2.810612997,20.10877373,15.75103422,2.33094321,15.11534275,4.302210034,4.088736458,54.02898929,2.526573811,18.13708827,3.42306894,14.81641039,2.344255815,,23.10819097,7.217522756,27.5066412,35.78159763,,20.11736419,20.58034174,53.64573033,,6.241635969,5.586352289,,23.72674188,,36.35332438,1.884024655,,18.91812217,30.03769172,5.242297512,20.81466133,6.322284302,10.90848951,12.17956027,27.20759231,24.91472615,16.09211022,28.62936447,,24.24867451,3.906744265,9.8126995,8.456601885,8.045890803,1.818061093,2.861911574,7.633852165,2.886730384,1.527912848,11.40677903,27.6939374,41.18760856,23.90967033,3.050904485,4.47516964,0.395364246,5.9903101,51.85270624,6.705154639,,,25.04665481,8.30904372,25.21073263,11.10133253,1.393493016,8.510223824,3.674912874,30.23252473,27.41665114,19.95677134,2.967922698,2.061787022,38.78073387,,6.077374422,2.038340048,2.619262665,5.115096709,24.48425079,6.315491537,8.048158549,16.44910207,,35.03305271,4.502068575,25.75946768,0.967065023,,3.831063444,16.42797372,19.15906281,1.832428161,3.670735814,,17.51051957,5.869762144,45.96095226,24.37033322,5.351959542,45.04224916,18.19140422,0.132916825,42.62786072,57.39560378,10.91455684,,,16.80955634,16.8262448,,16.80627879,5.73478962,,11.70173436,2.067548679,3.75289153,2.470071104,10.8705419,,3.259339651,25.77387204,,16.75454863,9.60050095,37.08465797,9.06490231,32.01182941,20.2340234
"Agriculture, forestry, and fishing, value added (% of GDP)",1998,12.91118241,11.15594546,1.666480089,22.58741576,,2.16737424,1.171934725,17.15903476,15.54161877,46.49996743,10.95556908,13.23578965,29.37584348,12.61896885,6.117422051,,4.334543297,3.506962734,0.975317958,,12.06534101,2.144602515,8.991809962,16.86276379,11.9682811,4.995209326,10.32570354,2.656077903,17.47594546,15.88448156,2.240001961,23.36708701,4.150411966,5.051827973,49.06190786,2.404580544,19.10140072,2.899380779,14.37052824,2.362459834,17.94345306,25.25381146,7.020793951,26.24400151,36.01410731,,21.16409858,19.20353899,61.41625616,,5.965048421,5.225801591,,23.43989883,,33.90585331,1.790449531,,18.3139578,28.52825729,5.318633986,21.16247282,6.036502791,10.7933619,12.1430554,27.38545048,25.38937632,18.08285295,28.57622165,,24.18045155,3.475354607,11.55505789,10.9097071,8.109184988,2.010182483,2.768857277,7.171235351,2.579414596,1.603288292,8.565795103,27.7449136,36.05528153,24.38567308,2.264548831,4.225940698,0.446468096,5.89000161,33.93876567,6.088186929,,,25.94134021,8.127657173,26.7744213,13.31224426,1.275990547,8.588564582,2.21645365,35.41378097,27.90837138,19.19095088,2.556968767,2.263245231,37.39300969,,5.946117986,1.957331742,3.206996927,5.330924733,25.30313827,6.427343736,8.378335158,14.74667331,,33.69214209,3.876607429,25.85499894,0.807411845,,3.541716439,14.80093731,19.17586618,1.728912201,3.924086509,,14.37943995,5.103393148,45.51746118,24.30629634,6.140682329,44.3945906,17.83192777,0.111378367,36.69543411,59.40206996,9.468184644,,,16.53547946,17.28731587,,17.26287916,5.638846003,,8.387271009,2.124670534,3.579359719,2.311342117,11.0243645,,2.455181099,29.38639549,,16.8345167,9.183359899,30.73109851,10.25922711,25.10130693,25.15898535
"Agriculture, forestry, and fishing, value added (% of GDP)",1999,6.290256828,9.735452115,1.667681777,22.65841112,,2.196212585,1.092351,16.06478847,15.2177671,52.36616493,8.355757952,13.00077152,29.37635894,11.10969297,6.124179679,,3.898942831,3.217600843,0.958397265,,12.1373151,1.940990842,7.821030714,15.98971479,11.28236981,4.780431253,10.62452969,2.457153208,17.57135182,15.90864759,2.130387287,22.72233597,3.817378211,3.628147187,45.48546315,2.254985618,16.49030343,2.886160925,16.40491859,2.236261411,16.11287657,23.648261,7.293625914,24.7217175,35.77634379,,21.49546542,24.01224521,55.04083027,,5.783494705,5.372240727,,23.04635982,,35.01394943,1.7051132,,13.61819036,27.12531567,5.40406563,22.56107084,5.310423692,10.64541677,11.94445642,25.80308918,24.84279951,19.6126764,26.37183855,,22.97256189,2.572291674,9.914986215,7.203503924,7.600721061,1.74412987,2.722232363,6.679597213,2.005780247,1.576060291,9.88634864,28.74407961,34.88162646,25.16448598,1.75160252,4.249754418,0.427494902,5.476948821,34.31197937,6.196850093,,,26.27665563,4.996351927,28.61224109,10.84238805,1.21968919,8.766234059,2.163765221,35.00259458,26.02848571,17.00021697,2.3296675,2.050592872,38.70148172,,6.275777407,1.8324955,2.952894164,4.763392018,25.16928551,6.021101523,8.264501734,15.19435542,,34.25726649,3.25278342,23.08715639,0.580729932,,3.289172486,14.00455833,19.29122508,1.65374031,4.361029311,,12.64911186,6.580647609,31.54690756,23.36103212,5.654340034,43.26549942,17.37601174,0.111245962,33.59829241,59.86649046,7.933731572,,,18.4179718,16.41718969,,16.39460618,5.180587817,,8.446622322,1.644106718,2.992258767,2.130188908,11.11877168,,2.894373578,24.34586103,,15.96293016,9.039118359,32.46215918,8.892995278,25.38863941,24.84168537
"Agriculture, forestry, and fishing, value added (% of GDP)",2000,5.664689564,8.693304145,1.59689853,22.71814808,,2.091653007,1.053889511,14.67624166,16.19515451,31.97235827,5.304252999,8.305719533,29.37631994,9.248823187,6.601255014,0.547435712,3.647264681,3.250528331,0.994789222,,11.90399502,2.151853226,6.718342047,14.42192886,10.39891375,4.44733922,9.435729035,2.410345347,15.40454427,15.53807704,2.08446363,12.59042177,3.745305634,3.885009588,44.66601795,2.203781301,15.31648438,2.953635977,14.98754304,2.098357551,17.98483584,24.07504893,6.213624522,20.6020089,35.27152196,,20.98183124,24.53228447,41.72867143,,5.435248181,5.164160494,,22.82114793,,29.9832313,1.645340167,0.087327038,14.37252354,25.82673166,4.968819067,17.18551672,4.934459878,9.6585415,10.96750632,24.74801924,23.40218302,15.67870444,25.5748739,,21.61106205,2.504929039,9.068419327,4.634745507,6.978998848,1.540210176,2.56361412,6.231900157,2.015436678,1.517880339,8.110783885,28.72178064,34.18770856,19.95974138,1.54557603,3.857792038,0.35521983,5.070060121,33.63025103,6.237509608,76.07454233,,24.8287453,5.705010141,29.66088901,8.599021888,1.213979573,10.73102477,2.18957397,36.57556007,21.3572413,17.76550514,2.298636968,1.784138167,38.24389704,,7.75290181,1.768001263,2.242058668,4.278127273,25.61725958,6.293273429,8.069374917,13.94109439,3.924332268,33.96639208,3.126724321,20.25135654,0.660110402,,3.109748284,12.85665776,18.23458162,1.605041379,4.515121298,0.372799554,10.85391805,5.751715628,31.18611145,22.43761237,4.90087005,40.68217391,16.4392452,0.092131733,34.40592836,55.01416209,7.172784777,,,17.07003378,15.49944011,,15.47947427,4.60124157,,9.539245695,1.710305594,3.085563229,1.942859895,12.31597575,,2.641002732,24.73394994,1.446172138,14.39777045,8.171462851,26.86191164,8.499848121,25.12453126,22.53877082
"Agriculture, forestry, and fishing, value added (% of GDP)",2001,8.156377022,9.340219734,1.613380836,21.84834058,,2.117890672,0.920924114,13.98346135,17.27709755,32.87090402,5.799931651,8.320972677,29.37628658,8.37953627,6.379567205,0.854068446,3.860797129,3.203527086,1.083432296,,11.29497578,2.339509415,6.997518613,13.91735891,10.26624082,4.627126866,8.756381852,2.362080729,12.65726659,15.35126847,2.08128151,15.1638444,3.677640148,3.493968644,42.34057112,2.229526198,16.21094281,2.764333324,13.01281233,2.107008191,17.98026241,23.04577026,6.143932582,20.96194186,35.24180012,,21.74068348,25.42563238,37.507955,,5.202702096,5.365900766,,14.17214684,,29.73738379,1.606421268,0.089468051,13.16599066,25.37656115,4.963677206,16.45057861,4.914388877,9.612601924,10.91329833,24.71179178,23.77774965,15.99491776,25.27222682,,21.61888489,1.993859832,8.310842002,6.930957055,7.468341445,1.764988074,2.489631456,6.120735926,1.953266182,1.367506192,8.724831864,27.84926011,34.54100036,20.39860656,1.73631881,3.565819021,0.446728972,4.951124793,32.68319294,5.863118728,76.5335872,,24.86895971,6.147999078,29.34634008,8.010970591,1.19348217,9.67546592,2.360202937,40.18192773,24.47535466,16.81332947,2.224615621,1.544767755,35.24767001,,7.981384797,1.699577007,2.334386044,4.203919367,24.19827461,6.732166037,7.893626696,13.3028093,3.717531112,34.41128094,3.253415017,21.9810273,0.587789921,,2.960749574,11.37331719,15.61226249,1.56488729,,0.37593985,13.1496004,5.875721568,31.79489534,22.14283868,5.134909394,35.78077462,16.25243231,0.082356656,23.90118813,45.79097556,6.686492598,,,14.65274338,16.50394589,,16.48123062,4.414157788,10.41075203,9.0948679,2.120217679,2.788071252,1.944937375,12.09922052,,2.637844003,25.29794416,1.339810361,13.89404572,7.705339009,29.82217671,8.57928745,23.80840939,23.09804465
